Main Title,Person-A,# Person-A,Org-A,Loc-A,Person-N,# Person-N,Org-N,Loc-N,Gpe-N,Person-S,# Person-S,Org-S,Loc-S
"Pittsburgh Lions Little League baseball team, kneeling from left: Robert Dalley, John King, James Dunmore, William Smith, Stanley Edward, Lessie Washington; standing: Bridder Pearson, Levi Williams, Willie Millender, Fred Wynn, Robert Sneed, Donald Primus, Tommy Wallace, Charles McKay and Raymond Woods, on Kennard Field with Terrace Village in background", , , , ,"Pittsburgh, Robert Dalley, John King, James Dunmore, William Smith, Stanley Edward, Lessie Washington, Bridder Pearson, Levi Williams, Willie Millender, Fred Wynn, Robert Sneed, Donald Primus, Tommy Wallace, Charles McKay, Raymond Woods, Kennard Field, Terrace Village",18,Lions Little League,,,"Robert Dalley, John King, James Dunmore, William Smith, Stanley Edward, Lessie Washington, Bridder Pearson, Levi Williams, Willie Millender, Fred Wynn, Robert Sneed, Donald Primus, Tommy Wallace, Charles McKay, Raymond Woods",15,Pittsburgh Lions Little League,Kennard Field
"Group portrait of Addison Giants baseball team, front row from left: James Crutchfield, Peter Gibson, Cleveland Edwards, Larry Tarploy; second row: manager William A. Rawls, Anthony Austin, Charles Robinson, Joseph Looney, and co-manager James Newton, posed on grandstand of Kennard Field with Terrace Village in background", , , , ,"Addison Giants, James Crutchfield, Peter Gibson, Cleveland Edwards, Larry Tarploy, William, Rawls, Anthony Austin, Charles Robinson, Joseph Looney, James Newton, Kennard Field, Terrace Village",13,,,Group,"James Crutchfield, Peter Gibson, Cleveland Edwards, Larry Tarploy, William A. Rawls, Anthony Austin, Charles Robinson, Joseph Looney, James Newton",9,Addison Giants,Kennard Field
"Davis Athletic Club sandlot baseball team wearing ""Davis A. C."" uniforms, standing from left: manager Finley T. Davis, Eugene Sanford, Donald Trent, Richard Carter, Joseph Weaver, George Parker; kneeling: Jerry Joyner, Isaac Brown, Melvin Sanford, Elzy Wilson, Timothy Joyner, Charles Parker, and mascot Charles Patton seated in front, on Ammon Recreation Center field", , , , ,"Davis, Davis, Finley T. Davis, Eugene Sanford, Donald Trent, Richard Carter, Joseph Weaver, George Parker, Jerry Joyner, Isaac Brown, Melvin Sanford, Elzy Wilson, Timothy Joyner, Charles Parker, Charles Patton, Ammon Recreation Center",16,Athletic Club,,,"Finley T. Davis, Eugene Sanford, Donald Trent, Richard Carter, Joseph Weaver, George Parker, Jerry Joyner, Isaac Brown, Melvin Sanford, Elzy Wilson, Timothy Joyner, Charles Parker, Charles Patton",13,"Davis Athletic Club, Ammon Recreation Center",
"Ammon Pony League baseball team, first row from left: co-captain Ronald Jackson, Michael Simms, Kenneth Blackwell, Alan Taylor; second row: co-captain Robert Ryan, Ronald Broadway, Ralph Greene, John Jackson, Robert Marshall, George Weston, manager Edward Dean; third row: coach David Boggus and Rennard Braxton posed on field", , , , ,"Ammon, Pony League, Ronald Jackson, Michael Simms, Kenneth Blackwell, Alan Taylor, Robert Ryan, Ronald Broadway, Ralph Greene, John Jackson, Robert Marshall, George Weston, Edward Dean, David Boggus, Rennard Braxton",15,,,,"Ronald Jackson, Michael Simms, Kenneth Blackwell, Alan Taylor, Robert Ryan, Ronald Broadway, Ralph Greene, John Jackson, Robert Marshall, George Weston, Edward Dean, David Boggus, Rennard Braxton",13,Ammon Pony League,
"Group portrait of fifteen South Hills High School basketball players, kneeling, left to right: John Bolla, Ray Sineway, John Carr, Henry Hemphill, Paul Rue and John Patterson; standing: Harry Guldatti, Tony Jeffries, Ken wade, Cal Jones, Paul Dorsett, Coach Bruce J. Weston, Carl Wade, Ulna Calloway, Jack Kress, and Andy Dick", , , , ,"John Bolla, Ray Sineway, John Carr, Henry Hemphill, Paul Rue, John Patterson, Harry Guldatti, Tony Jeffries, Ken, Cal Jones, Paul Dorsett, Coach Bruce J. Weston, Carl Wade, Ulna Calloway, Jack Kress, Andy Dick",16,,South Hills,Group,"John Bolla, Ray Sineway, John Carr, Henry Hemphill, Paul Rue, John Patterson, Harry Guldatti, Tony Jeffries, Ken, Cal Jones, Paul Dorsett, Bruce J. Weston, Carl Wade, Ulna Calloway, Jack Kress, Andy Dick",16,South Hills High School,
Eight members of Ebenezer Little Rens basketball team posed in gymnasium, , , , ,,0,Ebenezer Little Rens,,,,0,Ebenezer Little Rens,
"Group portrait of Grace Memorial Presbyterian Church basketball players, front row from left: David Cook, William Hicks, Alfred Hunt, Joe Baber and Crocker; back row: coach Joe Baber, Nolan, Ronald Moon, C. Paige, and  Walter Boon, posed in Herron Hill gym", , , , ,"Grace Memorial Presbyterian Church, David Cook, William Hicks, Alfred Hunt, Joe Baber, Joe Baber, Nolan, Ronald Moon, Walter Boon, Herron Hill",10,,,"Group, Crocker","David Cook, William Hicks, Alfred Hunt, Joe Baber, Crocker, Joe Baber, Ronald Moon, C. Paige, Walter Boon",9,Grace Memorial Presbyterian Church,"Nolan, Herron Hill"
"Group portrait of Westinghouse High School basketball team members, front row from left: Pat Wade, coach Williard Fisher, and captain Billy Peatross; back row: John Miller, Charles Hefflin, Rip Nixon, Bill Wilkenson, and Jim Vita", , , , ,"Pat Wade, Williard Fisher, Billy Peatross, John Miller, Charles Hefflin, Rip Nixon, Bill Wilkenson, Jim Vita",8,Westinghouse High School,,Group,"Pat Wade, Williard Fisher, Billy Peatross, John Miller, Charles Hefflin, Rip Nixon, Bill Wilkenson, Jim Vita",8,Westinghouse High School,
"Prospective University of Pittsburgh football players no. 78 Jimmy Jones and no. 31 Eric Crabtree with coach Louis ""Bimbo"" Cecconi in locker room", , , , ,,0,University,,Pittsburgh,"Jimmy Jones, Eric Crabtree, Louis, Cecconi",4,Prospective University of Pittsburgh,
"Portrait of Selma Burke posing with sculpture of bird, in interior, another version", , , , ,Selma Burke,1,,,Portrait,Selma Burke,1,,
"Group portrait of artists William Palmer, Mrs. C. McKenzie Lewis, Thaddeus ""Thad"" Mosley, Mrs. John K. Tabor, Mrs. David M. Weill, and Mrs. Robert Freeman, posed with sculpture at Three Rivers Arts Festival, Gateway Center, Downtown", , , , ,"William Palmer, Lewis, John K. Tabor, David M. Weill, Robert Freeman, Gateway Center, Downtown",7,Three Rivers Arts Festival,,"Group, Thaddeus, Mosley","William Palmer, C. McKenzie Lewis, Thaddeus, Mosley, John K. Tabor, David M. Weill, Robert Freeman",7,,
"Portrait of Raymond ""Ray"" Saunders holding prize winning pastel street scape, at Western Pennsylvania Scholastic Art competition", , , , ,,0,Scholastic Art,Western Pennsylvania,"Portrait, Raymond",Raymond `` Ray '' Saunders,1,,Western Pennsylvania
"Coach ""Buddy"" Parker handing football to Pittsburgh Steelers football player, on athletic field at Slippery Rock State Teachers College", , , , ,Pittsburgh Steelers,1,Slippery Rock,,Coach,Parker,1,"Pittsburgh Steelers, Slippery Rock State Teachers College",
"Pittsburgh Pirates baseball team manager Fred Haney posing with Birmingham Black Barons player Dwight Smallwood, at Forbes Field", , , , ,"Pittsburgh, Fred Haney, Birmingham Black Barons, Dwight Smallwood",4,"Pirates, Forbes Field",,,"Fred Haney, Dwight Smallwood",2,"Pittsburgh Pirates, Birmingham Black Barons",Forbes Field
"Cab driver Alvin E. Grace covering face and walking through doorway marked ""Docket Room,"" in Saw Mill Run Boulevard armory", , , , ,"Alvin E. Grace, Docket Room, Mill Run Boulevard",3,,,"Cab, Saw",Alvin E. Grace,1,,Saw Mill Run Boulevard
"Centenarian Lucy Slater grinding coffee in her kitchen, Ben Avon", , , , ,Ben Avon,1,Lucy,,Centenarian,"Lucy Slater, Ben Avon",2,,
"Young man standing beside boxer Ezzard Charles, in Uptown Gym", , , , ,Ezzard Charles,1,,,"Young, Uptown",Ezzard Charles,1,,Uptown Gym
"William ""Gus"" Greenlee with his arm around woman wearing herringbone coat and head scarf, in booth at Crawford Grill No. 1", , , , ,William,1,Crawford Grill No,,,William `` Gus '' Greenlee,1,,
"Elder W. J. Jerry with congregation, in front of New Covenant United Holy Church, Chauncey Street, Hill District", , , , ,"Elder, Jerry, United Holy Church, Chauncey Street, Hill District",5,,,New,"W. J. Jerry, Hill District",2,New Covenant United Holy Church,Chauncey Street
